"Geoname ID";"ASCII Name";"Country Code";"Population";"Latitude";"Longitude"
3038354;"Aix-en-Provence";"FR";146821;43.5283;5.44973
3037854;"Amiens";"FR";143086;49.9;2.3
3037656;"Angers";"FR";168279;47.47156;-0.55202
3037044;"Argenteuil";"FR";101475;48.94788;2.24744
3033123;"Besancon";"FR";128426;47.24878;6.01815
3031582;"Bordeaux";"FR";260958;44.84044;-0.5805
3031137;"Boulogne-Billancourt";"FR";108782;48.83545;2.24128
3030300;"Brest";"FR";144899;48.39029;-4.48628
3029241;"Caen";"FR";110624;49.18585;-0.35912
8555643;"Cergy-Pontoise";"FR";183430;49.03894;2.07805
3024635;"Clermont-Ferrand";"FR";147865;45.77969;3.08682
3021372;"Dijon";"FR";158002;47.31667;5.01667
3014728;"Grenoble";"FR";158552;45.17869;5.71479
3003796;"Le Havre";"FR";185972;49.4938;0.10767
3003603;"Le Mans";"FR";144515;48.0021;0.20251
2998324;"Lille";"FR";234475;50.63297;3.05858
2998286;"Limoges";"FR";141176;45.83362;1.24759
2996944;"Lyon";"FR";472317;45.74846;4.84671
6543969;"Lyon 03";"FR";102725;45.76124;4.85184
2995469;"Marseille";"FR";870731;43.29695;5.38107
2994160;"Metz";"FR";123914;49.11911;6.17269
2992166;"Montpellier";"FR";248252;43.61093;3.87635
2991214;"Mulhouse";"FR";111430;47.75205;7.32866
2990999;"Nancy";"FR";105058;48.68439;6.18496
2990969;"Nantes";"FR";318808;47.21725;-1.55336
2990440;"Nice";"FR";338620;43.70313;7.26608
2990363;"Nimes";"FR";148236;43.83665;4.35788
2989317;"Orleans";"FR";116269;47.90289;1.90389
2988507;"Paris";"FR";2138551;48.85341;2.3488
2987914;"Perpignan";"FR";110706;42.69764;2.89541
2984114;"Reims";"FR";196565;49.26526;4.02853
2983990;"Rennes";"FR";220488;48.11198;-1.67429
2982652;"Rouen";"FR";234475;49.44313;1.09932
2980291;"Saint-Etienne";"FR";176280;45.43389;4.39
8533870;"Saint-Quentin-en-Yvelines";"FR";146598;48.77186;2.01891
2973783;"Strasbourg";"FR";274845;48.58392;7.74553
2972328;"Toulon";"FR";168701;43.12442;5.92836
2972315;"Toulouse";"FR";493465;43.60426;1.44367
2972191;"Tours";"FR";141621;47.39484;0.70398
2968254;"Villeurbanne";"FR";131445;45.76601;4.8795
